FileName,SKU,Scale_1,Scale_2,Scale_3,Scale_4
GEOMETRIC_PATTERN_3_LUCITE_GREEN.jpg,0286,25,50,75,100
LINES_PATTERN_1.jpg,0287,30,70,100,150
PORTRAIT_PATTERN_27.jpg,0288,15,30,45,70
LINES_PATTERN_5.jpg,0289,30,70,100,150
WINTER_PATTERN#1_28.jpg,0290,15,30,45,70
WINTER_PATTERN#2_3.jpg,0291,15,30,45,70
WINTER_PATTERN#1_29.jpg,0292,15,30,45,70
WINTER_PATTERN#2_9.jpg,0293,15,30,45,70
ARTISTIC_PATTERN_15.jpg,0294,15,30,45,70
CUTE_STAMPS_PATTERN_3.jpg,0295,25,50,75,100
PATTERN_404.jpg,0296,30,70,100,150
PATTERN_49.jpg,0297,15,30,45,70
UNIVERSAL_PATTERN#2_21.jpg,0298,25,50,75,100
SPRING_PATTERN_4.jpg,0299,15,30,45,70
UNIVERSAL_PATTERN#2_3.jpg,0300,15,30,45,70
PORTRAIT_PATTERN_81.jpg,0301,15,30,45,70
PATTERN_399.jpg,0302,15,30,45,70
UNIVERSAL_PATTERN#2_26.jpg,0303,15,30,45,70
pf7.jpg,0304,30,70,100,150
PATTERN_379.jpg,0305,15,30,45,70
UNIVERSAL_PATTERN#2_40.jpg,0306,15,30,45,70
VERY_FRIENDLY_PATTERN_14.jpg,0307,15,30,45,70
VERY_FRIENDLY_PATTERN_12.jpg,0308,15,30,45,70
UNIVERSAL_PATTERN#2_29.jpg,0309,15,30,45,70
MML-donuts-07.jpg,0310,30,70,100,150
PATTERN_369.jpg,0311,15,30,45,70
UNIVERSAL_PATTERN#2_44.jpg,0312,25,50,75,100
UNIVERSAL_PATTERN#2_39.jpg,0313,15,30,45,70
PATTERN_374.jpg,0314,15,30,45,70
MML-donuts-10.jpg,0315,30,70,100,150
MML-donuts-09.jpg,0316,30,70,100,150
UNIVERSAL_PATTERN#2_25.jpg,0317,15,30,45,70
UNIVERSAL_PATTERN#2_18.jpg,0318,25,50,75,100
PARTY_PATTERN_16.jpg,0319,15,30,45,70
PATTERN_413.jpg,0320,15,30,45,70
COLOR_PATTERN_10.jpg,0321,15,30,45,70
SUMMER_PATTERN_8.jpg,0322,30,70,100,150
LINES_PATTERN_3.jpg,0323,25,50,75,100
HAND_DRAWN_PATTERN#2_9.jpg,0324,30,70,100,150
WAVE_PATTERN_6.jpg,0325,25,50,75,100
PORTRAIT_PATTERN_78.jpg,0326,15,30,45,70
VERY_FRIENDLY_PATTERN_10.jpg,0327,15,30,45,70
PATTERN_97.jpg,0328,25,50,75,100
lullaby llama_0012_l.jpg,0329,30,70,100,150
flamingo digital paper pack-03.jpg,0330,30,70,100,150
UNIVERSAL_PATTERN#2_6.jpg,0331,15,30,45,70
PATTERN_420.jpg,0332,15,30,45,70
CUTE_STAMPS_PATTERN_5.jpg,0333,15,30,45,70
CUTE_STAMPS_PATTERN_4.jpg,0334,25,50,75,100
CUTE_STAMPS_PATTERN_2.jpg,0335,25,50,75,100
CARTOON_PATTERN_2.jpg,0336,15,30,45,70
Pastel Ombre Blue-01.jpg,0337,30,70,100,150
PATTERN_542.jpg,0338,15,30,45,70
UNIVERSAL_PATTERN#2_50.jpg,0339,15,30,45,70
orange tile.jpg,0340,30,70,100,150
PORTRAIT_PATTERN_84.jpg,0341,15,30,45,70
HAND_DRAWN_PATTERN#1_3.jpg,0342,25,50,75,100
BLOOMING_PATTERN_1.jpg,0343,15,30,45,70
Chevron9.jpg,0344,30,70,100,150
PATTERN_373.jpg,0345,15,30,45,70
HAND_DRAWN_PATTERN#1_8.jpg,0346,25,50,75,100
PORTRAIT_PATTERN_77.jpg,0347,15,30,45,70
CARTOON_PATTERN_20.jpg,0348,15,30,45,70
CARTOON_PATTERN_6.jpg,0349,15,30,45,70
pf9.jpg,0350,30,70,100,150
PATTERN_501.jpg,0351,15,30,45,70
WINTER_PATTERN#1_17.jpg,0352,15,30,45,70
PARTY_PATTERN_14.jpg,0353,25,50,75,100
UNIVERSAL_PATTERN#2_46.jpg,0354,15,30,45,70
ARTISTIC_PATTERN_13.jpg,0355,15,30,45,70
PORTRAIT_PATTERN_82.jpg,0356,15,30,45,70
COLOR_PATTERN_17.jpg,0357,15,30,45,70
UNIVERSAL_PATTERN#2_16.jpg,0358,25,50,75,100
PATTERN_370.jpg,0359,15,30,45,70
VERY_FRIENDLY_PATTERN_16.jpg,0360,25,50,75,100
COLOR_PATTERN_7.jpg,0361,25,50,75,100
UNIVERSAL_PATTERN#2_19.jpg,0362,25,50,75,100
WAVE_PATTERN_8.jpg,0363,25,50,75,100
WINTER_PATTERN#1_5.jpg,0364,25,50,75,100
WINTER_PATTERN#1_9.jpg,0365,25,50,75,100
PEONIES_PATTERNS_4.jpg,0366,15,30,45,70
SUMMER_PATTERN_1.jpg,0367,15,30,45,70
VERY_FRIENDLY_PATTERN_15.jpg,0368,15,30,45,70
SAFARI_PATTERN_10.jpg,0369,25,50,75,100
PATTERN_544.jpg,0370,15,30,45,70
UNIVERSAL_PATTERN#2_13.jpg,0371,15,30,45,70
cheetah_0015_16.jpg,0372,30,70,100,150
Pastel Ombre Pink-01.jpg,0373,30,70,100,150
pattern_0008_10.jpg,0374,30,70,100,150
pattern_0007_11.jpg,0375,30,70,100,150
UNIVERSAL_PATTERN#2_31.jpg,0376,15,30,45,70
lullaby llama_0000_l.jpg,0377,30,70,100,150
UNIVERSAL_PATTERN#2_32.jpg,0378,15,30,45,70
cheetah_0012_13.jpg,0379,30,70,100,150
WAVE_PATTERN_5.jpg,0380,25,50,75,100
UNIVERSAL_PATTERN#2_35.jpg,0381,15,30,45,70
ARTISTIC_PATTERN_7.jpg,0382,15,30,45,70
cheetah_0001_2.jpg,0383,75,100,125,150
PATTERN_429.jpg,0384,30,70,100,150
PATTERN_549.jpg,0385,15,30,45,70
cheetah_0004_5.jpg,0386,75,100,125,150
PATTERN_414.jpg,0387,15,30,45,70
PATTERN_36.jpg,0388,15,30,45,70
PATTERN_95.jpg,0389,25,50,75,100
pattern_0015_3.jpg,0390,30,70,100,150
ARTISTIC_PATTERN_10.jpg,0391,15,30,45,70
ARTISTIC_PATTERN_2.jpg,0392,15,30,45,70
WATERCOLOR_TEXTURE_14.jpg,0393,15,30,45,70
COLOR_PATTERN_6.jpg,0394,15,30,45,70
cheetah_0007_8.jpg,0395,75,100,125,150
FLORAL&GEOMETRIC_PATTERN_10.jpg,0396,25,50,75,100
flamingo digital paper pack-04.jpg,0397,30,70,100,150
WAVE_PATTERN_2.jpg,0398,25,50,75,100
PATTERN_411.jpg,0399,15,30,45,70
WEDDING_PATTERN_2.jpg,0400,30,70,100,150
WEDDING_PATTERN_9.jpg,0401,25,50,75,100
WEDDING_PATTERN_1.jpg,0402,30,70,100,150
WEDDING_PATTERN_5.jpg,0403,30,70,100,150
WATERCOLOR_TEXTURE_19.jpg,0404,15,30,45,70
PATTERN_133.jpg,0405,15,30,45,70
PORTRAIT_PATTERN_59.jpg,0406,15,30,45,70
UNIVERSAL_PATTERN#2_2.jpg,0407,15,30,45,70
COLOR_PATTERN_15.jpg,0408,15,30,45,70
SAFARI_PATTERN_5.jpg,0409,25,50,75,100
PATTERN_397.jpg,0410,15,30,45,70
WEDDING_PATTERN_3.jpg,0411,30,70,100,150
cheetah_0002_3.jpg,0412,75,100,125,150
PARTY_PATTERN_11.jpg,0413,25,50,75,100
UNIVERSAL_PATTERN#2_15.jpg,0414,15,30,45,70
PORTRAIT_PATTERN_2.jpg,0415,15,30,45,70
